"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"R-HSA-9012999"	"R-HSA-9012999"	"RHO GTPase cycle"	"201/3251"	"449/11009"	2.1982956517325e-12	3.47990201669255e-09	3.11926583003728e-09	"ARHGEF16/VAMP3/SPEN/EPHA2/ARHGEF10L/CAPZB/CDC42/SRRM1/MACO1/UBXN11/NUDC/WASF2/PIK3R3/TMEM59/FNBP1L/VAV3/RHOC/VANGL1/ARHGEF2/VANGL2/ARHGAP30/RASAL2/SRGAP2/OBSCN/ITSN2/CDC42EP3/SPTBN1/VRK2/ARHGAP25/RTKN/ZAP70/NCK2/STEAP3/ARHGEF4/ARHGAP15/RND3/FMNL2/WIPF1/DOCK10/NGEF/FARP2/SRGAP3/FGD5/SLC4A7/ARHGEF3/ARL13B/ARHGAP31/KALRN/MUC13/RAB7A/PLXND1/ARHGEF26/PLD1/PAK2/LETM1/ARAP2/RHOH/ARHGAP24/ARHGAP10/SH3RF1/TRIO/BASP1/PIK3R1/ARHGEF28/FAM169A/IQGAP2/DIAPH1/ARAP3/ARHGAP26/CYFIP2/DOCK2/STK10/GFOD1/FGD2/LRRC1/FAM83B/DST/FAM135A/FILIP1/MYO6/ARHGAP18/AKAP12/TIAM2/NOX3/TAGAP/ACTB/RAC1/CHN2/WIPF3/BAIAP2L1/DOCK4/CFTR/ARHGEF10/PRAG1/DLC1/DOCK5/PTK2B/PREX2/STMN2/ARHGAP39/DOCK8/TJP2/FGD3/STOM/FNBP1/RAPGEF1/VAV2/CCDC187/NET1/VIM/ARHGAP21/MPP7/ARHGAP12/ITGB1/ARHGAP22/RHOBTB1/DLG5/DNMBP/SH3PXD2A/ADD3/DOCK1/ARHGEF17/PAK1/ARHGAP42/MCAM/ARHGEF12/ARHGAP32/PLEKHG6/ARHGDIB/FGD4/SENP1/FMNL3/AAAS/NCKAP1L/ARHGAP9/SRGAP1/CKAP4/TAOK3/CIT/RHOF/ANKLE2/GOLGA3/SPATA13/STARD13/SLITRK5/FARP1/DOCK9/ARHGEF7/MCF2L/KTN1/PLEKHG3/ACTN1/HSP90AA1/CDC42BPB/CYFIP1/ACTC1/PAK6/TMOD3/UACA/CSK/PEAK1/WHAMM/AKAP13/WWP2/ABR/WDR81/ANKFY1/ARHGEF15/ARHGAP44/ALDH3A2/GIT1/GRB7/JUP/ARHGAP27/MSI2/CLTC/GRB2/BAIAP2/DSG1/ARHGAP45/CDC37/DOCK6/TPM4/MYO9B/PIK3R2/RHPN2/SHKBP1/ARHGEF1/CDC42EP5/SRC/ITSN1/BCR/NCF4/CDC42EP1/BAIAP2L2/ARFGAP3/SAMM50/ARHGAP6/NHS/WAS/OCRL"	201
"R-HSA-9013148"	"R-HSA-9013148"	"CDC42 GTPase cycle"	"83/3251"	"155/11009"	2.77164442483978e-10	2.19375656226068e-07	1.96640878141264e-07	"ARHGEF16/VAMP3/CDC42/FNBP1L/VAV3/VANGL1/ARHGAP30/SRGAP2/CDC42EP3/STEAP3/ARHGEF4/FMNL2/WIPF1/DOCK10/NGEF/SRGAP3/ARHGAP31/RAB7A/ARHGEF26/PLD1/PAK2/ARAP2/ARHGAP24/ARHGAP10/TRIO/PIK3R1/IQGAP2/ARAP3/ARHGAP26/FGD2/TAGAP/WIPF3/ARHGEF10/DLC1/PREX2/ARHGAP39/DOCK8/FGD3/STOM/FNBP1/VAV2/ARHGAP21/ARHGAP22/DNMBP/SH3PXD2A/PAK1/ARHGAP42/ARHGEF12/ARHGAP32/ARHGDIB/FGD4/FMNL3/ARHGAP9/SRGAP1/SPATA13/STARD13/FARP1/DOCK9/ARHGEF7/MCF2L/KTN1/PLEKHG3/CDC42BPB/PAK6/ABR/WDR81/ARHGEF15/ARHGAP44/GIT1/JUP/ARHGAP27/BAIAP2/ARHGAP45/DOCK6/MYO9B/PIK3R2/SHKBP1/CDC42EP5/ITSN1/BCR/CDC42EP1/ARFGAP3/WAS"	83
"R-HSA-112316"	"R-HSA-112316"	"Neuronal System"	"175/3251"	"410/11009"	5.57521852223387e-09	2.94185697356541e-06	2.63698055016535e-06	"GNB1/KCNAB2/DLGAP3/GRIK3/KCNQ4/PTPRF/GNG12/KCNC4/KCNA3/KCNN3/KCNJ9/SYT2/PPFIA4/KCNH1/KCNK2/KCNK1/GNG4/ACTN2/KCNS3/KCNK3/KCNG3/LRRTM1/EPB41L5/CACNB4/GAD1/CHRNA1/ERBB4/SLC6A11/SLC6A1/SYN2/GRIP2/KCNH8/CACNA2D3/ADCY5/KCNAB1/NLGN1/KCNMB3/GNB4/IL1RAP/PDLIM5/GRIA2/ADCY2/SLC1A3/HCN1/CAMK2A/GABRB2/GABRG2/GABBR1/KCNK16/RIMS1/KCNQ5/MYO6/GABRR1/GABRR2/GRIK2/EPB41L2/GRM1/SLC22A2/RPS6KA2/PRKAR1B/RAC1/DBNL/GNAI1/CACNA2D1/KCNH2/PRKAG2/NEFL/NRG1/CHRNA6/KCNB2/KCNS2/NCALD/ADCY8/KCNQ3/KCNK9/PTPRD/GABBR2/CACNA1B/TUBB8/TUBAL3/CACNB2/CHAT/CAMK2G/KCNMA1/SLC18A2/AP2A2/KCNQ1/SYT9/ABCC8/KCNC1/KCNA4/SLC1A2/SYT7/RTN3/NRXN2/SYT12/PPFIA1/SHANK2/DLG2/HTR3A/GRIK4/KCNJ1/KCNJ5/SLC6A12/KCNA1/GRIN2B/KCNJ8/ABCC9/SLC38A1/TUBA1A/TUBA1C/KCNH3/GRIP1/KCNC2/SYT1/PRKAB1/CAMKK2/TUBA3C/NBEA/SLITRK1/SLITRK6/SLITRK5/ARHGEF7/GNG2/SIPA1L1/NRXN3/KCNK10/CALM1/GABRB3/APBA2/PLCB2/CHRNA3/RASGRF1/HOMER2/ADCY9/ABAT/GRIN2A/PRKCB/MAPK3/ADCY7/CAMKK1/CHRNE/KCNJ12/GIT1/CACNB1/KCNH4/TSPOAP1/PRKCA/KCNJ16/KCNJ2/GRIN2C/DLGAP1/EPB41L3/HCN2/GRIN3B/GNG7/PTPRS/LRFN3/LRFN1/GRIN2D/CACNG8/EPB41L1/DLGAP4/SRC/SLC32A1/KCNS1/KCNQ2/DNAJC5/GRIK1/KCNJ6/KCNJ15/COMT/SYN3/KCNJ4/CASK"	175
"R-HSA-9013149"	"R-HSA-9013149"	"RAC1 GTPase cycle"	"90/3251"	"185/11009"	2.73723458653332e-08	1.08326058762056e-05	9.70997953328136e-06	"VAMP3/EPHA2/CDC42/WASF2/PIK3R3/VAV3/VANGL1/ARHGAP30/SRGAP2/VRK2/ARHGAP25/ARHGEF4/ARHGAP15/WIPF1/DOCK10/NGEF/FARP2/SRGAP3/FGD5/ARHGAP31/KALRN/RAB7A/PLD1/PAK2/ARAP2/ARHGAP24/ARHGAP10/TRIO/PIK3R1/IQGAP2/ARAP3/ARHGAP26/CYFIP2/DOCK2/TIAM2/NOX3/TAGAP/RAC1/CHN2/WIPF3/BAIAP2L1/DOCK4/ARHGEF10/DLC1/DOCK5/PREX2/ARHGAP39/DOCK8/VAV2/ARHGAP21/MPP7/ARHGAP12/ITGB1/ARHGAP22/DOCK1/PAK1/ARHGAP42/MCAM/ARHGAP32/PLEKHG6/ARHGDIB/NCKAP1L/ARHGAP9/SRGAP1/TAOK3/CIT/SPATA13/FARP1/DOCK9/ARHGEF7/MCF2L/KTN1/PLEKHG3/CYFIP1/PAK6/ABR/ARHGEF15/ARHGAP44/GIT1/ARHGAP27/BAIAP2/ARHGAP45/DOCK6/MYO9B/PIK3R2/BCR/NCF4/CDC42EP1/NHS/WAS"	90
"R-HSA-1500931"	"R-HSA-1500931"	"Cell-Cell communication"	"76/3251"	"153/11009"	1.09863262217913e-07	3.47827088181911e-05	3.11780373620518e-05	"FBLIM1/AGO4/ZC3H12A/CADM3/NECTIN4/LAMB3/ACTN2/SPTBN1/NCK2/LIMS1/LIMS2/ZEB2/ITGA6/CTNNB1/NECTIN3/PIK3CB/PRDM8/CDH18/CDH12/CDH9/CDH6/FYB1/PIK3R1/ADAM19/DST/FYN/SDK1/ACTB/CLDN4/MAGI2/CLDN15/PTK2B/CDH17/AGO2/PTK2/PLEC/ITGB1/PARD3/SFTPA1/PARVA/CTNND1/CADM1/NECTIN1/KIRREL3/PTPN6/PXN/CLDN10/ANG/ACTN1/TNRC6A/CDH8/CDH11/CDH5/CDH3/CDH13/FOXF1/CDH15/KRT14/JUP/SDK2/GRB2/TNRC6C/LAMA3/PARD6G/CRB3/PIK3R2/SIRPB1/SIRPA/SRC/CDH4/CLDN17/CLDN8/CLDN14/TNRC6B/PARVB/CASK"	76
"R-HSA-1296071"	"R-HSA-1296071"	"Potassium Channels"	"54/3251"	"103/11009"	8.70303015592619e-07	0.000229614945613853	0.000205819028950675	"GNB1/KCNAB2/KCNQ4/GNG12/KCNC4/KCNA3/KCNN3/KCNJ9/KCNH1/KCNK2/KCNK1/GNG4/KCNS3/KCNK3/KCNG3/KCNH8/KCNAB1/KCNMB3/GNB4/HCN1/GABBR1/KCNK16/KCNQ5/KCNH2/KCNB2/KCNS2/KCNQ3/KCNK9/GABBR2/KCNMA1/KCNQ1/ABCC8/KCNC1/KCNA4/KCNJ1/KCNJ5/KCNA1/KCNJ8/ABCC9/KCNH3/KCNC2/GNG2/KCNK10/KCNJ12/KCNH4/KCNJ16/KCNJ2/HCN2/GNG7/KCNS1/KCNQ2/KCNJ6/KCNJ15/KCNJ4"	54
"R-HSA-2029480"	"R-HSA-2029480"	"Fcgamma receptor (FCGR) dependent phagocytosis"	"46/3251"	"86/11009"	2.69397682502135e-06	0.000609223616286972	0.000546087332350193	"CDC42/WASF2/VAV3/CD247/PRKCE/WIPF1/ARPC2/ITPR1/PIK3CB/PLD1/MYO10/PIK3R1/CYFIP2/FYN/ACTB/RAC1/WIPF3/ELMO1/LIMK1/ARPC1B/PLPP5/LYN/PTK2/SYK/ABL1/VAV2/DOCK1/CFL1/PAK1/CD3G/ITPR2/NCKAP1L/HSP90AA1/PLD4/CYFIP1/MYO5A/MAPK3/PLCG2/GRB2/BAIAP2/MYO9B/PIK3R2/SRC/MYH9/PLA2G6/WAS"	46
"R-HSA-9035034"	"R-HSA-9035034"	"RHOF GTPase cycle"	"27/3251"	"42/11009"	3.15452730312369e-06	0.0006242020901056	0.000559513526922465	"VAMP3/CAPZB/VANGL1/SRGAP2/STEAP3/SLC4A7/RAB7A/BASP1/PIK3R1/FAM169A/DIAPH1/AKAP12/ACTB/BAIAP2L1/ARHGAP39/ARHGAP21/ARHGAP12/ADD3/MCAM/ARHGAP32/SENP1/RHOF/FARP1/ACTN1/MYO9B/PIK3R2/BAIAP2L2"	27
"R-HSA-446728"	"R-HSA-446728"	"Cell junction organization"	"57/3251"	"115/11009"	4.51687509356821e-06	0.000794468141457608	0.000712134225278356	"FBLIM1/AGO4/ZC3H12A/CADM3/NECTIN4/LAMB3/LIMS1/LIMS2/ZEB2/ITGA6/CTNNB1/NECTIN3/PRDM8/CDH18/CDH12/CDH9/CDH6/ADAM19/DST/SDK1/ACTB/CLDN4/CLDN15/CDH17/AGO2/PLEC/ITGB1/PARD3/PARVA/CTNND1/CADM1/NECTIN1/PXN/CLDN10/ANG/ACTN1/TNRC6A/CDH8/CDH11/CDH5/CDH3/CDH13/FOXF1/CDH15/KRT14/JUP/SDK2/TNRC6C/LAMA3/PARD6G/CRB3/CDH4/CLDN17/CLDN8/CLDN14/TNRC6B/PARVB"	57
"R-HSA-8980692"	"R-HSA-8980692"	"RHOA GTPase cycle"	"69/3251"	"147/11009"	5.55619189154064e-06	0.000879545176430883	0.000788394386294398	"VAMP3/ARHGEF10L/MACO1/VAV3/VANGL1/ARHGEF2/ARHGAP30/OBSCN/RTKN/ARHGEF4/NGEF/ARHGEF3/ARHGAP31/KALRN/PLD1/ARAP2/ARHGAP24/ARHGAP10/TRIO/PIK3R1/ARHGEF28/DIAPH1/ARAP3/ARHGAP26/DOCK2/STK10/ARHGAP18/TAGAP/ARHGEF10/DLC1/PREX2/ARHGAP39/TJP2/STOM/VAV2/NET1/ARHGAP21/ARHGAP22/ARHGEF17/ARHGAP42/MCAM/ARHGEF12/ARHGAP32/PLEKHG6/ARHGDIB/FMNL3/AAAS/ARHGAP9/SRGAP1/CIT/STARD13/FARP1/ARHGEF7/MCF2L/KTN1/PLEKHG3/ACTC1/AKAP13/ABR/ARHGEF15/ARHGAP44/JUP/ARHGAP45/MYO9B/PIK3R2/RHPN2/ARHGEF1/BCR/ARHGAP6"	69
