"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"R-HSA-383280"	"R-HSA-383280"	"Nuclear Receptor transcription pathway"	"32/3620"	"52/11009"	2.03177234914794e-05	0.00268363264449957	0.00246307840923022	"NR0B2/RXRG/NR5A2/ESRRG/NR4A2/PPARG/RARB/NR1I2/NR3C2/NR2F1/NR3C1/RXRB/NR2E1/ESR1/RXRA/NR1H3/PGR/NR4A1/NCOR2/ESR2/ESRRB/RORA/NR2E3/NCOR1/THRA/NR1D1/RARA/NR2F6/NR1H2/HNF4A/NR0B1/AR"	32
"R-HSA-112310"	"R-HSA-112310"	"Neurotransmitter release cycle"	"31/3620"	"51/11009"	3.86394783751286e-05	0.00340242073469882	0.00312279293066829	"SLC5A7/GAD1/SLC6A1/SYN2/CPLX1/SLC1A3/RIMS1/SLC22A2/GAD2/CHAT/SLC18A3/SLC18A2/SLC1A2/PPFIA1/SLC6A12/SLC6A13/SYT1/PPFIA2/ABAT/TSPOAP1/SLC1A6/RAB3A/LIN7B/SLC17A7/SNAP25/SLC32A1/DNAJC5/SYN3/CASK/MAOA/SYN1"	31
"R-HSA-500792"	"R-HSA-500792"	"GPCR ligand binding"	"194/3620"	"468/11009"	4.46670059472555e-05	0.00353986022132	0.00324893695890037	"TAS1R3/TAS1R2/CNR2/OPRD1/HCRTR1/EDN2/PTCH2/PTGER3/PTGFR/S1PR1/ADORA1/WNT3A/GNG4/CHRM3/OPN3/NTSR2/UCN/LHCGR/NMS/SCTR/GPR39/CXCR4/FZD7/FZD5/PTH2R/CXCR2/GPBAR1/WNT6/CCL20/GPR55/NMUR1/ACKR3/RAMP1/GPR35/GRM7/HRH1/WNT7A/CCR4/CX3CR1/CCK/CCR2/WNT5A/HTR1F/CASR/RHO/TRH/AGTR1/P2RY14/P2RY1/GHSR/GNB4/EEF1AKMT4-ECE2/SST/UTS2B/ADRA2C/DRD5/CCKAR/NPFFR2/CXCL1/PF4/CXCL5/TACR3/QRFPR/EDNRA/NPY2R/RXFP1/NPY1R/MTNR1A/RXFP3/CCL28/HTR1A/F2RL2/F2R/F2RL1/CRHBP/HTR4/DRD1/GRM6/GABBR1/GRM4/HCRTR2/HTR1B/MCHR2/NMBR/GRM1/OPRM1/CCR6/GPER1/NPY/ADCYAP1R1/RAMP3/FZD9/FZD1/WNT2/GPR37/GRM8/CHRM2/HTR5A/SHH/VIPR2/ADRA1A/PNOC/NPBWR1/PENK/CRH/GABBR2/UCN3/FZD8/CXCL12/TACR2/NPFFR1/RGR/OPN4/HTR7/FFAR4/ADRA2A/ADRB1/PRLHR/DRD4/CCKBR/CALCB/CALCA/CHRM4/APLNR/PTGDR2/CHRM1/P2RY2/P2RY6/GRM5/MTNR1B/CXCR5/LPAR5/TAS2R14/TAS2R50/HEBP1/PTHLH/DHH/AVPR1A/HCAR2/HCAR3/HCAR1/FZD10/EDNRB/LTB4R2/LTB4R/SSTR1/PTGDR/BDKRB2/NMB/CCL22/CX3CL1/MC1R/CCL5/CCL3/CCR7/CCR10/PYY/FZD2/LINC02210-CRHR1/CRHR1/WNT3/WNT9B/UTS2R/ADCYAP1/GRP/GALR1/GNG7/S1PR4/C3/CCL25/PLPPR2/PTGER1/F2RL3/INSL3/FFAR3/FFAR2/GPR4/PTGIR/C5AR2/OXT/AVP/MC3R/GNAS/EDN3/NTSR1/OPRL1/APP/ADORA2A/SSTR3/GALR3/WNT7B/XK/HTR2C/APLN"	194
"R-HSA-2022090"	"R-HSA-2022090"	"Assembly of collagen fibrils and other multimeric structures"	"35/3620"	"61/11009"	6.91023361872189e-05	0.00456363345236425	0.00418857143029546	"COL24A1/COL11A1/LAMC2/LAMB3/PXDN/LOXL3/ITGA6/COL6A3/COL6A5/TLL1/COL11A2/DST/COL9A1/COL12A1/CTSB/COL14A1/PLEC/CTSL/COL15A1/COL5A1/TLL2/MMP7/COL2A1/COL4A1/COL4A2/LOXL1/COL1A1/ITGB4/LAMA3/COL9A3/COL18A1/COL6A1/COL6A2/COL4A6/COL4A5"	35
"R-HSA-373076"	"R-HSA-373076"	"Class A/1 (Rhodopsin-like receptors)"	"143/3620"	"335/11009"	8.84181124818335e-05	0.0051904706771743	0.00476389206432335	"CNR2/OPRD1/HCRTR1/EDN2/PTGER3/PTGFR/S1PR1/ADORA1/CHRM3/OPN3/NTSR2/LHCGR/NMS/GPR39/CXCR4/CXCR2/GPBAR1/CCL20/GPR55/NMUR1/ACKR3/GPR35/HRH1/CCR4/CX3CR1/CCK/CCR2/HTR1F/RHO/TRH/AGTR1/P2RY14/P2RY1/GHSR/EEF1AKMT4-ECE2/SST/UTS2B/ADRA2C/DRD5/CCKAR/NPFFR2/CXCL1/PF4/CXCL5/TACR3/QRFPR/EDNRA/NPY2R/RXFP1/NPY1R/MTNR1A/RXFP3/CCL28/HTR1A/F2RL2/F2R/F2RL1/HTR4/DRD1/HCRTR2/HTR1B/MCHR2/NMBR/OPRM1/CCR6/GPER1/NPY/GPR37/CHRM2/HTR5A/ADRA1A/PNOC/NPBWR1/PENK/CXCL12/TACR2/NPFFR1/RGR/OPN4/HTR7/FFAR4/ADRA2A/ADRB1/PRLHR/DRD4/CCKBR/CHRM4/APLNR/PTGDR2/CHRM1/P2RY2/P2RY6/MTNR1B/CXCR5/LPAR5/HEBP1/AVPR1A/HCAR2/HCAR3/HCAR1/EDNRB/LTB4R2/LTB4R/SSTR1/PTGDR/BDKRB2/NMB/CCL22/CX3CL1/MC1R/CCL5/CCL3/CCR7/CCR10/PYY/UTS2R/GRP/GALR1/S1PR4/C3/CCL25/PLPPR2/PTGER1/F2RL3/INSL3/FFAR3/FFAR2/GPR4/PTGIR/C5AR2/OXT/AVP/MC3R/EDN3/NTSR1/OPRL1/APP/ADORA2A/SSTR3/GALR3/XK/HTR2C/APLN"	143
"R-HSA-419037"	"R-HSA-419037"	"NCAM1 interactions"	"26/3620"	"42/11009"	0.000105102195833302	0.00594953501413515	0.00546057273088812	"AGRN/CACNB4/COL6A3/CACNA1D/COL6A5/GDNF/ST8SIA4/COL9A1/GFRA2/COL5A1/CACNB2/GFRA1/NCAM1/CACNA1C/COL2A1/CACNB3/COL4A1/COL4A2/ST8SIA2/CACNA1H/CACNA1G/COL9A3/COL6A1/COL6A2/CACNA1I/COL4A5"	26
"R-HSA-3295583"	"R-HSA-3295583"	"TRP channels"	"19/3620"	"28/11009"	0.00015786966949755	0.00758252806526111	0.00695935831724447	"MCOLN3/TRPM8/TRPC1/TRPC3/TRPC7/TRPA1/TRPM3/TRPC6/TRPV4/TRPC4/TRPM1/MLKL/TRPV3/TRPV1/TRPV2/MCOLN1/TRPM4/TRPM2/TRPC5"	19
"R-HSA-1630316"	"R-HSA-1630316"	"Glycosaminoglycan metabolism"	"61/3620"	"126/11009"	0.000198347787423634	0.00898232123047027	0.00824410954043495	"AGRN/SLC9A1/B4GALT2/BCAN/B4GALT3/HS6ST1/GLB1L/CHPF/B3GNT7/ST3GAL6/B4GALT4/CHST13/ABCC5/SLC26A1/IDUA/HS3ST1/NDST4/HEXB/ARSB/VCAN/NDST1/HS3ST5/DSE/UST/CHST12/GPC2/CSGALNACT1/SDC2/EXT1/SLC35D2/NDST2/PAPSS2/HPSE2/CHST15/CHST1/ST3GAL4/GLB1L3/GLB1L2/B3GAT1/DCN/CHST11/GPC5/GPC6/CSPG4/CHSY1/XYLT1/HS3ST2/HAS3/CHST5/GALNS/HS3ST3A1/HS3ST3B1/CHST9/B3GNT3/HAS1/SDC4/CHST7/HS6ST2/GPC4/GPC3/IDS"	61
"R-HSA-1793185"	"R-HSA-1793185"	"Chondroitin sulfate/dermatan sulfate metabolism"	"29/3620"	"50/11009"	0.000220834551255693	0.00946007469568306	0.00868259885733621	"AGRN/BCAN/CHPF/CHST13/IDUA/HEXB/ARSB/VCAN/DSE/UST/CHST12/GPC2/CSGALNACT1/SDC2/CHST15/B3GAT1/DCN/CHST11/GPC5/GPC6/CSPG4/CHSY1/XYLT1/CHST9/SDC4/CHST7/GPC4/GPC3/IDS"	29
"R-HSA-1638091"	"R-HSA-1638091"	"Heparan sulfate/heparin (HS-GAG) metabolism"	"32/3620"	"57/11009"	0.000244077289772887	0.0099219949761968	0.00910655623915257	"AGRN/BCAN/HS6ST1/GLB1L/IDUA/HS3ST1/NDST4/VCAN/NDST1/HS3ST5/GPC2/SDC2/EXT1/SLC35D2/NDST2/HPSE2/GLB1L3/GLB1L2/B3GAT1/DCN/GPC5/GPC6/CSPG4/XYLT1/HS3ST2/HS3ST3A1/HS3ST3B1/SDC4/HS6ST2/GPC4/GPC3/IDS"	32
