"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"R-HSA-112316"	"R-HSA-112316"	"Neuronal System"	"207/3620"	"410/11009"	4.57624524101435e-14	7.25334870700774e-11	6.65723255061245e-11	"KCNAB2/KIF17/GRIK3/KCNQ4/PTPRF/KCNC4/KCNA2/KCNA3/KCNN3/KCNJ9/CACNA1E/SYT2/GNG4/ACTN2/KCNF1/ADCY3/KCNK3/KCNG3/NRXN1/LRRTM1/SLC5A7/CACNB4/GAD1/ERBB4/TUBA4A/SLC6A1/SYN2/KCNH8/CACNA2D2/ADCY5/KCNAB1/SLITRK3/NLGN1/KCNMB3/GNB4/CPLX1/GABRA2/GABRB1/GLRB/GRIA2/SLC6A3/ADCY2/SLC1A3/HCN1/RASGRF2/KCNN2/GABRB2/GABRA6/TUBB2A/GABBR1/KCNK17/RIMS1/KCNQ5/GABRR1/GRIK2/GRM1/SLC22A2/RPS6KA2/PRKAR1B/RAC1/DBNL/CAMK2B/GNAI1/KCND2/KCNH2/PRKAG2/NEFL/CHRNA2/NRG1/KCNB2/KCNS2/NCALD/ADCY8/KCNQ3/KCNK9/SHARPIN/PTPRD/GABBR2/GRIN3A/GRIN1/TUBB4B/CACNA1B/TUBB8/CACNB2/GAD2/CHAT/SLC18A3/LRRTM3/KCNMA1/SLC18A2/AP2A2/KCNQ1/PPFIBP2/KCNJ11/SLC1A2/SYT7/PLCB3/NRXN2/KCNK7/PPFIA1/SHANK2/DLG2/GRM5/GRIA4/HTR3A/GRIK4/KCNJ1/SLC6A12/SLC6A13/GRIN2B/KCNJ8/ABCC9/SYT10/SLC38A1/ADCY6/CACNB3/TUBA1C/KCNH3/GRIP1/KCNC2/SYT1/PPFIA2/CAMKK2/TUBA3C/NBEA/SLITRK1/SLITRK5/ARHGEF7/NRXN3/KCNK10/KCNK13/BEGAIN/GABRB3/GABRA5/GABRG3/APBA2/CHRNA7/PLCB2/RASGRF1/ADCY9/ABAT/GRIN2A/MAPK3/ADCY7/CAMKK1/CHRNE/NLGN2/KCNAB3/GIT1/KCNH4/GJC1/MAPT/TSPOAP1/KCNH6/PRKCA/KCNJ2/GRIN2C/DLGAP1/EPB41L3/GNAL/KCNG2/HCN2/GNG7/PTPRS/TUBB4A/CACNA1A/PRKACA/SLC1A6/RAB3A/HOMER3/LRFN1/KCNN4/GRIN2D/KCNA7/LIN7B/SLC17A7/KCNC3/PRKCG/CACNG8/SNAP25/EPB41L1/DLGAP4/SLC32A1/KCNS1/KCNB1/KCNQ2/DNAJC5/GRIK1/KCNJ6/COMT/SYN3/CACNG2/NLGN4X/RPS6KA3/IL1RAPL1/TSPAN7/CASK/MAOA/SYN1/ARHGEF9/DLG3/RPS6KA6/IL1RAPL2/GRIA3/SLITRK4/SLITRK2/GABRQ"	207
"R-HSA-9013148"	"R-HSA-9013148"	"CDC42 GTPase cycle"	"85/3620"	"155/11009"	1.21277825824199e-08	9.61126769656781e-06	8.82136606784441e-06	"ARHGEF16/VAMP3/DOCK7/SRGAP2/LBR/CDC42EP3/STEAP3/ARHGEF4/FMNL2/WIPF1/DOCK10/NGEF/SRGAP3/ARHGAP31/RAB7A/ARHGEF26/PLEKHG4B/TRIO/PIK3R1/IQGAP2/RASGRF2/ARHGAP26/DEF6/FGD2/PLEKHG1/TAGAP/WIPF3/ARHGEF10/DLC1/SCRIB/ARHGAP39/FNBP1/VAV2/ARHGAP21/ARHGAP22/DNMBP/SH3PXD2A/CDC42EP2/MAP3K11/ARAP1/PAK1/ARHGEF12/ARHGAP32/ARHGDIB/FMNL3/RACGAP1/GIT2/SPATA13/STARD13/FARP1/DOCK9/ARHGEF7/MCF2L/KTN1/PLEKHG3/CDC42BPB/PAK6/BUB1B-PAK6/ABR/WDR81/ARHGEF15/ARHGAP44/GIT1/FMNL1/ARHGAP27/BAIAP2/ARHGAP45/DOCK6/ARHGAP33/SHKBP1/ARHGAP35/PAK5/TIAM1/ITSN1/BCR/CDC42EP1/FGD1/ARHGEF9/OPHN1/STARD8/PAK3/DOCK11/ARHGEF6/MCF2/ARHGAP4"	85
"R-HSA-446728"	"R-HSA-446728"	"Cell junction organization"	"65/3620"	"115/11009"	1.38413636730857e-07	7.3128538072803e-05	6.71184722673842e-05	"FBLIM1/AGO4/ZC3H12A/CADM3/NECTIN4/LAMC2/LAMB3/LIMS1/LIMS2/ZEB2/ITGA6/CTNNB1/CADM2/CLDN18/CLDN11/PRDM8/CDH18/CDH12/CDH9/CDH6/CTNNA1/ADAM19/DST/SDK1/ACTB/CLDN4/FLNC/CLDN23/AGO2/PLEC/ITGB1/PARD3/CADM1/NECTIN1/KRT5/PXN/CLDN10/CDH24/ACTN1/CLDN9/CDH8/CDH11/CDH5/CDH3/CDH1/CDH13/FOXF1/CLDN7/KRT14/SDK2/ITGB4/TNRC6C/LAMA3/CDH2/CDH7/PARD6G/ILF3/PVR/PARD6B/CDH4/SOX10/PARVB/AMOT/ARHGEF6/FLNA"	65
"R-HSA-1500931"	"R-HSA-1500931"	"Cell-Cell communication"	"81/3620"	"153/11009"	2.04734923655891e-07	8.11262134986467e-05	7.44588590769582e-05	"FBLIM1/AGO4/ZC3H12A/CADM3/NECTIN4/NPHS2/LAMC2/LAMB3/ACTN2/LIMS1/LIMS2/ZEB2/ITGA6/CTNNB1/CADM2/CD47/NCK1/CLDN18/PIK3CB/CLDN11/PRDM8/CDH18/CDH12/CDH9/CDH6/FYB1/PIK3R1/CTNNA1/ADAM19/DST/FYN/SDK1/ACTB/SKAP2/CLDN4/MAGI2/FLNC/CLDN23/AGO2/PLEC/ITGB1/PARD3/ACTN3/CADM1/NECTIN1/KIRREL3/PTPN6/KRT5/PXN/CLDN10/CDH24/ACTN1/CLDN9/CDH8/CDH11/CDH5/CDH3/CDH1/CDH13/FOXF1/CLDN7/KRT14/SDK2/GRB2/ITGB4/TNRC6C/LAMA3/CDH2/CDH7/PARD6G/ILF3/NPHS1/PVR/PARD6B/CDH4/SOX10/PARVB/CASK/AMOT/ARHGEF6/FLNA"	81
"R-HSA-112315"	"R-HSA-112315"	"Transmission across Chemical Synapses"	"128/3620"	"270/11009"	3.7565556765503e-07	0.000119082814946644	0.000109295998841948	"KIF17/GRIK3/KCNJ9/CACNA1E/GNG4/ACTN2/ADCY3/SLC5A7/CACNB4/GAD1/ERBB4/TUBA4A/SLC6A1/SYN2/CACNA2D2/ADCY5/GNB4/CPLX1/GABRA2/GABRB1/GLRB/GRIA2/SLC6A3/ADCY2/SLC1A3/RASGRF2/GABRB2/GABRA6/TUBB2A/GABBR1/RIMS1/GABRR1/GRIK2/SLC22A2/RPS6KA2/PRKAR1B/RAC1/CAMK2B/GNAI1/PRKAG2/NEFL/CHRNA2/NRG1/NCALD/ADCY8/GABBR2/GRIN3A/GRIN1/TUBB4B/CACNA1B/TUBB8/CACNB2/GAD2/CHAT/SLC18A3/SLC18A2/AP2A2/SLC1A2/PLCB3/PPFIA1/DLG2/GRIA4/HTR3A/GRIK4/SLC6A12/SLC6A13/GRIN2B/SLC38A1/ADCY6/CACNB3/TUBA1C/GRIP1/SYT1/PPFIA2/CAMKK2/TUBA3C/NBEA/ARHGEF7/GABRB3/GABRA5/GABRG3/CHRNA7/PLCB2/RASGRF1/ADCY9/ABAT/GRIN2A/MAPK3/ADCY7/CAMKK1/CHRNE/GIT1/MAPT/TSPOAP1/PRKCA/KCNJ2/GRIN2C/GNAL/GNG7/TUBB4A/CACNA1A/PRKACA/SLC1A6/RAB3A/GRIN2D/LIN7B/SLC17A7/PRKCG/CACNG8/SNAP25/EPB41L1/SLC32A1/DNAJC5/GRIK1/KCNJ6/COMT/SYN3/CACNG2/RPS6KA3/TSPAN7/CASK/MAOA/SYN1/ARHGEF9/DLG3/RPS6KA6/GRIA3/GABRQ"	128
"R-HSA-2672351"	"R-HSA-2672351"	"Stimuli-sensing channels"	"60/3620"	"109/11009"	1.4013744538867e-06	0.00037019641823507	0.000339771841275688	"SCNN1D/BEST4/MCOLN3/CLCA4/RYR2/FKBP1B/ASIC4/TRPM8/ANO7/ANO10/SLC9C1/TRPC1/TRPC3/TRPC7/SLC17A3/OSTM1/SGK1/TTYH3/CLCN1/C8orf44-SGK3/SGK3/TRPA1/TRPM3/WNK2/ANO5/ANO3/TPCN2/ANO1/TRPC6/WNK1/ANO2/SCNN1A/BEST3/TRPV4/UBC/TRPC4/NALCN/UNC79/TRPM1/RYR3/CLCN7/SCNN1G/MLKL/TRPV3/TRPV1/TRPV2/ASIC2/WNK4/TTYH2/NEDD4L/MCOLN1/RYR1/TRPM4/TTYH1/SGK2/TRPM2/CLCN4/CLCN5/TSC22D3/TRPC5"	60
"R-HSA-6794362"	"R-HSA-6794362"	"Protein-protein interactions at synapses"	"49/3620"	"86/11009"	3.44188850738419e-06	0.00077934189774342	0.000715291716872924	"PTPRF/SYT2/NRXN1/LRRTM1/SLITRK3/NLGN1/GRM1/DBNL/SHARPIN/PTPRD/GRIN1/LRRTM3/PPFIBP2/SYT7/NRXN2/PPFIA1/SHANK2/DLG2/GRM5/GRIA4/GRIN2B/SYT10/SYT1/PPFIA2/SLITRK1/SLITRK5/NRXN3/BEGAIN/APBA2/GRIN2A/NLGN2/GRIN2C/DLGAP1/EPB41L3/PTPRS/HOMER3/LRFN1/GRIN2D/LIN7B/EPB41L1/DLGAP4/NLGN4X/IL1RAPL1/CASK/DLG3/IL1RAPL2/GRIA3/SLITRK4/SLITRK2"	49
"R-HSA-9012999"	"R-HSA-9012999"	"RHO GTPase cycle"	"191/3620"	"449/11009"	7.96549589296773e-06	0.00157816387379423	0.00144846254264229	"ARHGEF16/PLEKHG5/VAMP3/SPEN/EPHA2/ARHGEF10L/CAPZB/SRRM1/MACO1/UBXN11/NUDC/WASF2/LCK/DOCK7/RASAL2/ABL2/SRGAP2/LBR/OBSCN/RHOU/RHOB/ITSN2/CDC42EP3/ARHGAP25/RTKN/ZAP70/STEAP3/ARHGEF4/POTEE/RND3/FMNL2/WIPF1/ABI2/DOCK10/NGEF/SRGAP3/FGD5/PLXNB1/NISCH/ARHGAP31/KALRN/RAB7A/NCK1/ARHGEF26/SLITRK3/LETM1/PCDH7/RHOH/PLEKHG4B/TRIO/BASP1/DDX4/PIK3R1/ARHGEF28/FAM169A/IQGAP2/RASGRF2/ARHGAP26/CYFIP2/DOCK2/STK10/GFOD1/DEF6/FGD2/LRRC1/DST/GJA1/PLEKHG1/AKAP12/TIAM2/TAGAP/ACTB/RAC1/CHN2/WIPF3/BAIAP2L1/DOCK4/CFTR/ARHGEF10/PRAG1/DLC1/RHPN1/SCRIB/ARHGAP39/TJP2/FNBP1/VAV2/CCDC187/NET1/VIM/ARHGAP21/ARHGAP12/ITGB1/ARHGAP22/DNMBP/SH3PXD2A/ADD3/DOCK1/STX5/CDC42EP2/MAP3K11/RHOD/ARAP1/ARHGEF17/PAK1/MCAM/ARHGEF12/ARHGAP32/PLEKHG6/ARHGDIB/FMNL3/RACGAP1/AAAS/GIT2/CIT/ANKLE2/GOLGA3/SPATA13/STARD13/SLITRK5/FARP1/DOCK9/ARHGEF7/MCF2L/KTN1/PLEKHG3/ACTN1/HSP90AA1/CDC42BPB/CKB/CYFIP1/ACTC1/PAK6/BUB1B-PAK6/IL32/KCTD13/WWP2/ABR/WDR81/ANKFY1/ARHGEF15/ARHGAP44/ALDH3A2/GIT1/ARHGAP23/CAVIN1/FMNL1/ARHGAP27/MSI2/TEX2/GRB2/BAIAP2/HGS/ARHGAP45/TRIP10/VAV1/DOCK6/TPM4/RHPN2/ARHGAP33/SHKBP1/ARHGEF1/ARHGAP35/PAK5/PARD6B/TIAM1/ITSN1/BCR/NCF4/CDC42EP1/SH3BP1/BAIAP2L2/SAMM50/ARHGAP8/ARHGAP6/NHS/FGD1/ARHGEF9/OPHN1/STARD8/ARMCX3/PAK3/DOCK11/OCRL/ARHGEF6/RBMX/MCF2/MTMR1/BCAP31/ARHGAP4/ATP6AP1"	191
"R-HSA-397014"	"R-HSA-397014"	"Muscle contraction"	"97/3620"	"205/11009"	1.04420705239998e-05	0.00167994988233932	0.00154188327238448	"ATP1A1/ATP1A4/ACTA1/ACTN2/RYR2/FKBP1B/KCNK3/KCNK12/DYSF/KCNIP3/SCN7A/TTN/DES/KCNE4/CAV3/ATP2B2/SCN5A/SCN11A/CACNA2D2/TNNC1/MYLK/TRPC1/WWTR1/FGF12/MYL5/KCNIP4/CORIN/GUCY1A1/GUCY1B1/ITGA1/KCNIP1/ITPR3/KCNK5/KCNK17/CAMK2B/ORAI2/KCND2/CALD1/HIPK2/KCNH2/GATA4/SORBS3/KCNK9/TMOD1/VIM/CACNB2/FXYD4/SORBS1/KCNIP2/TNNT3/KCNQ1/STIM1/KCNJ11/KCNK7/ACTN3/PAK1/GUCY1A2/CACNA1C/ABCC9/SCN8A/MYBPC1/TBX5/NOS1/PXN/FGF14/SLC8A3/KCNK10/KCNK13/RYR3/ACTC1/ANXA2/TPM1/CACNA1H/MYH11/TRIM72/CES1/ATP2A3/ATP1B2/CACNA1G/SCN4A/KCNJ2/PRKACA/TPM4/FXYD3/FXYD1/RYR1/SLC8A2/CACNG7/CACNG8/CACNG6/TNNT1/KCNK15/TNNC2/KCNE1/CACNA1I/DMD/FGF13"	97
"R-HSA-9013149"	"R-HSA-9013149"	"RAC1 GTPase cycle"	"89/3620"	"185/11009"	1.05990528854216e-05	0.00167994988233932	0.00154188327238448	"VAMP3/EPHA2/WASF2/DOCK7/ABL2/SRGAP2/LBR/ARHGAP25/ARHGEF4/WIPF1/ABI2/DOCK10/NGEF/SRGAP3/FGD5/NISCH/ARHGAP31/KALRN/RAB7A/TRIO/PIK3R1/IQGAP2/RASGRF2/ARHGAP26/CYFIP2/DOCK2/DEF6/PLEKHG1/TIAM2/TAGAP/RAC1/CHN2/WIPF3/BAIAP2L1/DOCK4/ARHGEF10/DLC1/ARHGAP39/VAV2/ARHGAP21/ARHGAP12/ITGB1/ARHGAP22/DOCK1/ARAP1/PAK1/MCAM/ARHGAP32/PLEKHG6/ARHGDIB/RACGAP1/GIT2/CIT/SPATA13/FARP1/DOCK9/ARHGEF7/MCF2L/KTN1/PLEKHG3/CYFIP1/PAK6/BUB1B-PAK6/ABR/ARHGEF15/ARHGAP44/GIT1/ARHGAP23/FMNL1/ARHGAP27/BAIAP2/ARHGAP45/VAV1/DOCK6/ARHGAP33/ARHGAP35/PAK5/TIAM1/BCR/NCF4/CDC42EP1/SH3BP1/NHS/OPHN1/PAK3/DOCK11/ARHGEF6/MCF2/ARHGAP4"	89
