"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"R-HSA-9012999"	"R-HSA-9012999"	"RHO GTPase cycle"	"197/3022"	"449/11009"	1.84092737927542e-14	2.90682433187589e-11	2.60055215051328e-11	"ARHGEF16/PLEKHG5/VAMP3/EFHD2/SPEN/EPHA2/ARHGEF10L/CAPZB/CDC42/SRRM1/MACO1/UBXN11/NUDC/WASF2/LCK/PIK3R3/TMEM59/FNBP1L/VAV3/RHOC/VANGL1/TPM3/ARHGEF2/ARHGAP30/RASAL2/NCF2/SRGAP2/OBSCN/ITSN2/CDC42EP3/SPTBN1/VRK2/ARHGAP25/RTKN/ZAP70/NCK2/STEAP3/ARHGEF4/ARHGAP15/RND3/FMNL2/WIPF1/NCKAP1/DOCK10/NGEF/FARP2/SRGAP3/FGD5/SLC4A7/PLXNB1/ARHGEF3/ARL13B/ARHGAP31/KALRN/RAB7A/PLXND1/ARHGEF26/SLITRK3/PLD1/PAK2/LETM1/ARAP2/RHOH/ARHGAP24/FAM13A/ARHGAP10/SH3RF1/TRIO/BASP1/PIK3R1/ARHGEF28/FAM169A/IQGAP2/RASGRF2/DIAPH1/ARHGAP26/CYFIP2/DOCK2/STK10/GFOD1/FLOT1/DEF6/FGD2/FAM83B/DST/FILIP1/MYO6/GJA1/ARHGAP18/AKAP12/TIAM2/NOX3/TAGAP/ACTB/RAC1/CHN2/WIPF3/BAIAP2L1/DOCK4/CFTR/ARHGEF10/PRAG1/DLC1/DOCK5/PTK2B/ARHGAP39/DOCK8/HINT2/TJP2/FGD3/FNBP1/RAPGEF1/VAV2/CCDC187/NET1/VIM/ARHGAP21/MPP7/ARHGAP12/DLG5/DNMBP/SH3PXD2A/ADD3/DOCK1/SWAP70/STX5/ARHGEF17/PAK1/PICALM/MCAM/ARHGEF12/ARHGAP32/ARHGDIB/FGD4/FMNL3/RACGAP1/AAAS/NCKAP1L/ARHGAP9/SRGAP1/TAOK3/CIT/RHOF/GOLGA3/SPATA13/STARD13/SLITRK5/FARP1/DOCK9/ARHGEF7/MCF2L/KTN1/PLEKHG3/HSP90AA1/CDC42BPB/CKB/CYFIP1/WHAMM/AKAP13/IL32/WWP2/ABR/WDR81/ANKFY1/ARHGEF15/ARHGAP44/ALDH3A2/GIT1/GRB7/JUP/FMNL1/ARHGAP27/MSI2/CLTC/CDC42EP4/GRB2/BAIAP2/ARHGAP45/TRIP10/CDC37/PKN1/TPM4/RHPN2/GARRE1/SHKBP1/ARHGEF1/ARHGAP35/SRC/ITSN1/BCR/NCF4/CDC42EP1/BAIAP2L2/SAMM50/NHS/WAS/STARD8"	197
"R-HSA-9013149"	"R-HSA-9013149"	"RAC1 GTPase cycle"	"92/3022"	"185/11009"	7.49596586048034e-11	5.91806504684922e-08	5.29451904461295e-08	"VAMP3/EPHA2/CDC42/WASF2/PIK3R3/VAV3/VANGL1/ARHGAP30/NCF2/SRGAP2/VRK2/ARHGAP25/ARHGEF4/ARHGAP15/WIPF1/NCKAP1/DOCK10/NGEF/FARP2/SRGAP3/FGD5/ARHGAP31/KALRN/RAB7A/PLD1/PAK2/ARAP2/ARHGAP24/FAM13A/ARHGAP10/TRIO/PIK3R1/IQGAP2/RASGRF2/ARHGAP26/CYFIP2/DOCK2/DEF6/TIAM2/NOX3/TAGAP/RAC1/CHN2/WIPF3/BAIAP2L1/DOCK4/ARHGEF10/DLC1/DOCK5/ARHGAP39/DOCK8/VAV2/ARHGAP21/MPP7/ARHGAP12/DOCK1/SWAP70/PAK1/MCAM/ARHGAP32/ARHGDIB/RACGAP1/NCKAP1L/ARHGAP9/SRGAP1/TAOK3/CIT/SPATA13/FARP1/DOCK9/ARHGEF7/MCF2L/KTN1/PLEKHG3/CYFIP1/ABR/ARHGEF15/ARHGAP44/GIT1/FMNL1/ARHGAP27/CDC42EP4/BAIAP2/ARHGAP45/PKN1/GARRE1/ARHGAP35/BCR/NCF4/CDC42EP1/NHS/WAS"	92
"R-HSA-9013148"	"R-HSA-9013148"	"CDC42 GTPase cycle"	"79/3022"	"155/11009"	3.66271121581418e-10	1.92780700325686e-07	1.72468717600794e-07	"ARHGEF16/VAMP3/CDC42/FNBP1L/VAV3/VANGL1/ARHGAP30/SRGAP2/CDC42EP3/STEAP3/ARHGEF4/FMNL2/WIPF1/DOCK10/NGEF/SRGAP3/ARHGAP31/RAB7A/ARHGEF26/PLD1/PAK2/ARAP2/ARHGAP24/ARHGAP10/TRIO/PIK3R1/IQGAP2/RASGRF2/ARHGAP26/DEF6/FGD2/TAGAP/WIPF3/ARHGEF10/DLC1/ARHGAP39/DOCK8/FGD3/FNBP1/VAV2/ARHGAP21/DNMBP/SH3PXD2A/PAK1/ARHGEF12/ARHGAP32/ARHGDIB/FGD4/FMNL3/RACGAP1/ARHGAP9/SRGAP1/SPATA13/STARD13/FARP1/DOCK9/ARHGEF7/MCF2L/KTN1/PLEKHG3/CDC42BPB/ABR/WDR81/ARHGEF15/ARHGAP44/GIT1/JUP/FMNL1/ARHGAP27/CDC42EP4/BAIAP2/ARHGAP45/SHKBP1/ARHGAP35/ITSN1/BCR/CDC42EP1/WAS/STARD8"	79
"R-HSA-112316"	"R-HSA-112316"	"Neuronal System"	"164/3022"	"410/11009"	1.43618700162015e-08	5.66934818889556e-06	5.07200777940591e-06	"GNB1/KCNAB2/RPS6KA1/EPB41/KCNQ4/PTPRF/GNG12/KCNC4/KCNA3/KCNN3/KCNJ9/CACNA1E/SYT2/PPFIA4/KCNK2/GNG4/ACTN2/KCNS3/KCNK3/KCNG3/LRRTM4/LRRTM1/EPB41L5/CACNB4/KCNH7/GAD1/CHRNA1/TUBA4A/SLC6A1/SYN2/GRIP2/KCNH8/GNAI2/CACNA2D3/ADCY5/KCNAB1/SLITRK3/KCNMB2/KCNMB3/GNB4/HTR3E/IL1RAP/PDLIM5/GRIA2/ADCY2/SLC1A3/RASGRF2/KCNN2/GABRB2/GABRA6/KCNMB1/GABBR1/FLOT1/KCNK16/RIMS1/KCNQ5/MYO6/GABRR1/GABRR2/GRIK2/EPB41L2/GRM1/SLC22A2/RPS6KA2/PRKAR1B/RAC1/STX1A/GNAI1/CACNA2D1/KCNH2/PRKAG2/NEFL/CHRNA2/NRG1/CHRNA6/KCNS2/NCALD/ADCY8/KCNK9/SLC1A1/PTPRD/GABBR2/CACNA1B/TUBB8/CACNB2/CHAT/CAMK2G/KCNMA1/AP2A2/KCNQ1/SYT9/PPFIBP2/ABCC8/KCNC1/SYT7/RTN3/NRXN2/KCNK7/SYT12/PPFIA1/SHANK2/DLG2/GRM5/HTR3A/GRIK4/KCNJ1/KCNJ5/GRIN2B/KCNJ8/SLC38A1/TUBA1C/KCNH3/GRIP1/KCNC2/SYT1/PRKAB1/CAMKK2/NBEA/SLITRK1/SLITRK5/ARHGEF7/GNG2/SIPA1L1/NRXN3/KCNK10/CALM1/GABRB3/GABRA5/PLCB2/ADCY9/ABAT/PRKCB/ADCY7/CAMKK1/CHRNE/KCNJ12/GIT1/CACNB1/KCNH4/GNGT2/TSPOAP1/PRKCA/PRKAR1A/KCNJ16/KCNJ2/GRIN2C/EPB41L3/HCN2/GNG7/PTPRS/LRFN3/LRFN1/EPB41L1/DLGAP4/SRC/SLC32A1/KCNS1/CHRNA4/KCNQ2/DNAJC5/GRIK1/COMT/SYN3/CASK"	164
"R-HSA-8980692"	"R-HSA-8980692"	"RHOA GTPase cycle"	"69/3022"	"147/11009"	3.08383555227118e-07	9.73875267407239e-05	8.71264697083774e-05	"PLEKHG5/VAMP3/ARHGEF10L/MACO1/VAV3/VANGL1/ARHGEF2/ARHGAP30/OBSCN/RTKN/ARHGEF4/NGEF/ARHGEF3/ARHGAP31/KALRN/PLD1/ARAP2/ARHGAP24/FAM13A/ARHGAP10/TRIO/PIK3R1/ARHGEF28/RASGRF2/DIAPH1/ARHGAP26/DOCK2/STK10/FLOT1/DEF6/ARHGAP18/TAGAP/ARHGEF10/DLC1/ARHGAP39/TJP2/VAV2/NET1/ARHGAP21/STX5/ARHGEF17/MCAM/ARHGEF12/ARHGAP32/ARHGDIB/FMNL3/RACGAP1/AAAS/ARHGAP9/SRGAP1/CIT/STARD13/FARP1/ARHGEF7/MCF2L/KTN1/PLEKHG3/AKAP13/ABR/ARHGEF15/ARHGAP44/JUP/ARHGAP45/PKN1/RHPN2/ARHGEF1/ARHGAP35/BCR/STARD8"	69
"R-HSA-198933"	"R-HSA-198933"	"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"	"62/3022"	"133/11009"	1.62072840101277e-06	0.000353362853436744	0.00031613142849379	"CD160/FCGR1A/CD1D/CD1C/SLAMF6/SLAMF7/SH2D1B/CD247/CD34/CD8A/CD8B/ITGA4/COL3A1/CD96/CD200R1/HLA-A/HLA-E/HLA-C/HLA-B/MICB/NCR3/TREM2/TREM1/PILRA/IFITM1/CD81/JAML/CD3G/CRTAM/CLEC2D/KLRC4-KLRK1/ITGB7/CD19/ITGAL/ICAM2/CD300A/CD300LB/CD300C/CD300LD/CD300E/CD300LF/CD226/C3/ICAM3/CD22/SIGLEC11/SIGLEC7/CD33/SIGLEC10/SIGLEC12/LILRB2/LILRA4/LAIR1/LAIR2/LILRA2/LILRA1/LILRB1/LILRB4/KIR2DL4/SIGLEC1/ITGB2/SH2D1A"	62
"R-HSA-9658195"	"R-HSA-9658195"	"Leishmania infection"	"73/3022"	"164/11009"	1.79031211367571e-06	0.000353362853436744	0.00031613142849379	"GNB1/CDC42/WASF2/FGR/JUN/GNG12/VAV3/FCGR1A/CD247/IL10/GNG4/NLRP3/IL1B/WIPF1/NCKAP1/FZD7/ARPC2/ITPR1/GNAI2/WNT5A/ADCY5/GNB4/NFKB1/ADCY2/MYO10/CYFIP2/MAPK14/FYN/PRKAR1B/ACTB/RAC1/IL6/WIPF3/ELMO1/GNAI1/ARPC1B/LYN/ADCY8/PTK2/ABL1/VAV2/ENTPD1/DOCK1/CD3G/C3AR1/ITPR2/NCKAP1L/P2RX4/GNG2/ENTPD5/CALM1/CYFIP1/PSTPIP1/FURIN/ADCY9/ADCY7/DPEP2/PLCG2/MYH2/ADORA2B/GNGT2/PRKAR1A/GRB2/RHBDF2/BAIAP2/GNG7/C3/SRC/GNAS/APP/GGT1/MYH9/WAS"	73
"R-HSA-9824443"	"R-HSA-9824443"	"Parasitic Infection Pathways"	"73/3022"	"164/11009"	1.79031211367571e-06	0.000353362853436744	0.00031613142849379	"GNB1/CDC42/WASF2/FGR/JUN/GNG12/VAV3/FCGR1A/CD247/IL10/GNG4/NLRP3/IL1B/WIPF1/NCKAP1/FZD7/ARPC2/ITPR1/GNAI2/WNT5A/ADCY5/GNB4/NFKB1/ADCY2/MYO10/CYFIP2/MAPK14/FYN/PRKAR1B/ACTB/RAC1/IL6/WIPF3/ELMO1/GNAI1/ARPC1B/LYN/ADCY8/PTK2/ABL1/VAV2/ENTPD1/DOCK1/CD3G/C3AR1/ITPR2/NCKAP1L/P2RX4/GNG2/ENTPD5/CALM1/CYFIP1/PSTPIP1/FURIN/ADCY9/ADCY7/DPEP2/PLCG2/MYH2/ADORA2B/GNGT2/PRKAR1A/GRB2/RHBDF2/BAIAP2/GNG7/C3/SRC/GNAS/APP/GGT1/MYH9/WAS"	73
"R-HSA-416482"	"R-HSA-416482"	"G alpha (12/13) signalling events"	"41/3022"	"80/11009"	5.15910605967641e-06	0.000786731524475346	0.000703839009263634	"GNB1/ARHGEF16/PLEKHG5/ARHGEF10L/GNG12/VAV3/RHOC/ARHGEF2/OBSCN/GNG4/ARHGEF4/NGEF/PLXNB1/ARHGEF3/KALRN/ARHGEF26/GNB4/TRIO/RASGRF2/ARHGEF37/FGD2/TIAM2/GNA12/ARHGEF10/ADRA1A/FGD3/VAV2/NET1/ARHGEF17/ARHGEF12/FGD4/ARHGEF7/MCF2L/GNG2/AKAP13/ABR/ARHGEF15/GNGT2/GNG7/ARHGEF1/ITSN1"	41
"R-HSA-5173105"	"R-HSA-5173105"	"O-linked glycosylation"	"53/3022"	"112/11009"	5.22938284119794e-06	0.000786731524475346	0.000703839009263634	"ST3GAL3/ST6GALNAC3/GALNT2/B3GNT7/DAG1/ADAMTS9/SEMA5B/B3GNT5/ST6GAL1/MUC20/MUC4/SPON2/GALNTL6/ADAMTS16/SEMA5A/ADAMTS6/ADAMTS2/THBS2/THSD7A/GALNT17/MUC3A/MUC12/MUC17/SBSPON/ST3GAL1/ADAMTSL1/GCNT1/GALNT12/ST6GALNAC4/ADAMTS13/ADAMTSL2/MUC6/MUC2/MUC5AC/MUC5B/GALNT18/SPON1/LARGE2/B3GNT6/ST3GAL4/GALNT8/ADAMTS20/GALNT9/GALNT16/THBS1/ADAMTS17/CHST4/ST6GALNAC2/B3GNTL1/B3GNT3/B3GNT8/ADAMTS5/CFP"	53
